               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.1035,              2.3164,               1.337,             0.51403,              0.5329,             0.49043,             0.29629,                   0,                   0,                   0,              0.0937,              0.0007,              0.0007
                   1,              1.9335,              1.9008,              1.3913,             0.68773,             0.64795,              0.6558,             0.42746,                   0,                   0,                   0,            0.086485,           0.0014851,           0.0014851
                   2,              1.6173,              1.2816,              1.2122,             0.65846,              0.6821,             0.66138,             0.42841,                   0,                   0,                   0,            0.079254,           0.0022545,           0.0022545
                   3,               1.432,              1.1528,              1.1993,             0.61031,             0.66481,             0.64437,             0.40464,                   0,                   0,                   0,            0.072008,           0.0030079,           0.0030079
                   4,              1.5437,              1.1341,              1.1476,             0.59821,             0.57254,             0.61448,             0.39692,                   0,                   0,                   0,            0.064746,           0.0037456,           0.0037456
                   5,              1.3722,             0.85351,              1.1425,             0.62875,             0.64558,             0.68351,             0.43008,                   0,                   0,                   0,            0.057467,           0.0044673,           0.0044673
                   6,              1.5026,              1.0037,              1.1944,             0.63529,             0.72795,             0.70969,             0.45146,                   0,                   0,                   0,            0.050173,           0.0051733,           0.0051733
                   7,              1.5178,             0.89651,              1.1344,             0.60408,             0.59552,             0.59146,             0.40054,                   0,                   0,                   0,            0.042863,           0.0058634,           0.0058634
                   8,              1.5193,             0.93529,              1.1415,             0.68459,             0.77006,             0.74886,             0.47887,                   0,                   0,                   0,            0.035538,           0.0065377,           0.0065377
                   9,              1.3992,             0.85502,              1.1533,             0.65822,              0.7285,             0.67482,             0.42994,                   0,                   0,                   0,            0.028196,           0.0071961,           0.0071961
                  10,              1.2546,             0.83092,              1.0971,              0.7049,             0.77282,             0.72076,              0.4659,                   0,                   0,                   0,            0.020839,           0.0078387,           0.0078387
                  11,              1.3961,             0.81971,              1.1433,             0.71877,             0.75708,             0.76279,             0.50243,                   0,                   0,                   0,            0.013465,           0.0084655,           0.0084655
                  12,              1.3382,             0.80645,              1.1046,             0.68829,              0.7657,             0.73414,             0.46861,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  13,              1.3088,             0.80435,              1.1115,             0.74563,             0.73601,             0.74634,             0.49067,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.2794,             0.78712,               1.126,             0.76987,             0.75975,              0.7437,             0.48073,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.3546,             0.78242,              1.1324,             0.70541,             0.75179,              0.7035,             0.43567,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.4618,             0.87175,              1.1099,             0.75951,             0.77451,             0.75684,             0.47852,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.2062,              0.7749,              1.1315,             0.76286,             0.73722,             0.73017,             0.46995,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,               1.412,             0.87308,              1.1605,             0.75104,             0.74874,             0.75048,             0.49719,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.2836,             0.78303,              1.1116,              0.7541,              0.7478,             0.73047,             0.45988,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,               1.302,             0.77942,              1.1175,             0.78316,              0.7479,               0.745,             0.49356,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.2408,             0.81237,              1.1665,              0.7393,             0.73811,             0.74176,             0.48436,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.3215,             0.74193,              1.1224,             0.78465,             0.73187,             0.76327,              0.5023,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.4004,             0.79573,              1.1167,             0.76057,             0.70995,             0.74185,             0.48369,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.2878,              0.7881,              1.1627,             0.76563,             0.73189,             0.75906,             0.49635,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.3319,             0.81726,              1.1158,             0.76199,             0.69427,             0.73329,             0.46797,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.2866,             0.78949,              1.1197,              0.7699,              0.7034,             0.75516,             0.48801,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.2325,               0.763,              1.1359,             0.81375,             0.67011,             0.76513,             0.50307,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.2498,             0.75907,              1.1737,             0.80015,             0.70199,             0.77236,             0.50692,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.2398,             0.76744,              1.1222,             0.76938,             0.73431,             0.77133,             0.51102,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.3226,             0.79177,              1.1298,              0.7595,             0.71394,             0.75175,             0.48988,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.3959,             0.81429,              1.0973,              0.6999,               0.689,             0.71108,              0.4545,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.2854,             0.85406,              1.1421,             0.77443,             0.69987,              0.7413,              0.4842,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.3266,             0.73067,              1.1369,             0.72907,             0.69804,             0.71444,             0.44689,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.2442,             0.79823,              1.1141,             0.72224,             0.66153,             0.68626,             0.43539,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.3703,              0.8152,              1.1361,              0.7415,             0.66685,               0.706,             0.44914,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.3358,             0.80983,              1.0894,             0.69605,             0.67083,             0.67743,             0.43305,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.2882,             0.73822,              1.1214,             0.76655,             0.71531,             0.74482,             0.47002,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.3135,             0.74819,              1.1414,             0.72551,             0.69924,             0.72177,             0.45711,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.2488,             0.73613,              1.0748,             0.76169,             0.72658,              0.7715,             0.49201,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.2701,             0.72769,              1.0929,             0.77188,             0.74979,             0.80116,             0.51822,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.1944,             0.72656,              1.1206,             0.73884,             0.78397,             0.79552,              0.5102,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.1823,             0.66578,              1.1101,              0.7387,             0.78422,             0.80402,             0.52327,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.1677,             0.72043,              1.1153,             0.76054,             0.75784,             0.80314,             0.52012,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,               1.064,             0.67463,              1.0841,             0.79081,             0.72952,             0.78419,             0.49305,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
