               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.9101,              1.9438,              1.4049,             0.70947,             0.73839,             0.73268,             0.42277,                   0,                   0,                   0,            0.070056,           0.0033271,           0.0033271
                   1,              1.8761,              1.3674,              1.3774,              0.6636,             0.64516,             0.69083,             0.37574,                   0,                   0,                   0,             0.03999,           0.0065945,           0.0065945
                   2,              1.9441,              1.4723,              1.4128,             0.53071,             0.44321,             0.48119,             0.25784,                   0,                   0,                   0,           0.0098585,           0.0097959,           0.0097959
                   3,              2.0049,              1.5195,              1.4329,             0.51863,             0.47367,              0.4617,             0.23239,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.9902,               1.455,              1.4228,             0.75568,             0.73454,             0.80754,             0.45199,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.9641,              1.3817,               1.422,             0.38665,             0.38221,              0.3647,             0.19595,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.9235,              1.3407,              1.4027,             0.78329,              0.6478,             0.75673,              0.4216,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,               1.921,               1.286,              1.4002,             0.44008,             0.29352,             0.31743,             0.15061,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.8708,              1.2433,              1.3843,             0.81023,             0.85204,             0.89173,             0.53535,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.8477,              1.1974,              1.3667,             0.79874,             0.80251,              0.8671,             0.47746,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.8501,              1.1974,               1.375,             0.84921,             0.81731,             0.88181,             0.52858,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.8282,              1.1415,              1.3569,             0.84072,             0.78448,             0.87661,             0.51895,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.8221,               1.143,               1.362,             0.83868,             0.86398,             0.90556,              0.5568,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.8228,              1.1338,              1.3743,             0.50838,             0.40239,             0.46274,              0.2549,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.8147,              1.1139,              1.3646,             0.82441,             0.84658,             0.90232,             0.55827,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.8034,               1.108,              1.3598,             0.82179,             0.88437,             0.90923,             0.55746,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.7788,              1.0799,               1.355,             0.83047,              0.8506,             0.91006,             0.55882,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.7822,              1.0731,              1.3504,             0.86974,             0.89307,             0.93104,             0.58995,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.7875,              1.0867,              1.3619,             0.85697,             0.86351,             0.91763,             0.57916,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,               1.773,              1.0581,              1.3505,             0.85756,             0.83352,             0.90852,             0.53969,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.7654,              1.0589,              1.3433,             0.84879,             0.87396,             0.91509,             0.56573,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               1.771,              1.0388,              1.3371,             0.86988,             0.88415,             0.92907,             0.58006,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.7663,              1.0512,              1.3448,             0.87807,             0.85835,             0.92768,             0.59138,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.7472,              1.0295,              1.3402,             0.85884,              0.8942,             0.93295,             0.58979,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.7399,              1.0141,              1.3222,             0.84974,             0.89306,             0.92504,             0.57112,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.7603,              1.0251,              1.3453,             0.84656,              0.8827,             0.92332,             0.58684,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.7168,             0.99437,              1.3254,             0.86482,             0.88018,             0.93744,             0.58975,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.7213,             0.99995,              1.3282,             0.85008,             0.90239,              0.9334,             0.60585,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.7185,             0.99841,              1.3375,              0.8761,             0.86677,             0.93487,             0.60544,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.7262,             0.99824,              1.3378,             0.85876,             0.91463,             0.93711,             0.60707,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.7165,             0.98651,              1.3245,             0.85133,             0.90925,              0.9248,             0.59112,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
