                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2526,                 5.8438,                 4.0692,                 0.0029,                0.00532,                0.00031,                  6e-05,                 4.8966,                 4.7586,                 3.8205,               0.067062,             0.00033271,             0.00033271
                      2,                 4.8227,                 5.0545,                  3.552,                0.00139,                0.09977,                 0.0015,                0.00035,                 4.3241,                 4.3764,                 3.3878,               0.034055,             0.00065945,             0.00065945
                      3,                 3.9255,                 4.2938,                 2.9953,                 0.0176,                0.06058,                0.01473,                0.00485,                 3.0467,                 12.184,                 2.7812,              0.0010422,             0.00097959,             0.00097959
                      4,                 2.9075,                 3.3777,                 2.3236,                0.11996,                0.20256,                0.11328,                0.04936,                 2.3612,                  3.083,                 2.2288,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.2722,                 2.8054,                 1.8564,                0.35699,                0.20252,                 0.1704,                0.07879,                 2.1309,                 2.5023,                 2.0234,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.0412,                 2.4383,                 1.6551,                0.38693,                0.30752,                0.25672,                0.12393,                 1.8537,                 2.1652,                 1.7696,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.9062,                 2.2035,                 1.5215,                0.44711,                0.41366,                0.38898,                0.19625,                 1.7471,                 1.8917,                 1.6373,              0.0009406,              0.0009406,              0.0009406
                      8,                  1.801,                 1.9947,                 1.4401,                 0.3436,                  0.205,                0.19438,                0.08461,                 2.3471,                 3.7069,                 1.9923,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.7543,                 1.9015,                 1.4018,                0.40678,                0.26453,                0.21059,                0.08838,                 2.3013,                  6.815,                  1.965,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.7103,                 1.8238,                 1.3784,                0.25207,                0.26289,                 0.1786,                0.07512,                 2.5692,                 5.7844,                 2.0597,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6939,                 1.7455,                 1.3652,                 0.2963,                0.29684,                0.19858,                0.09982,                 1.9087,                 2.7708,                  1.714,               0.000901,               0.000901,               0.000901
                     12,                 1.6436,                 1.6832,                 1.3399,                0.46074,                0.27872,                0.21244,                0.09496,                 2.2311,                 5.5232,                 1.8809,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.6205,                 1.6045,                 1.3126,                0.56046,                 0.5835,                0.58705,                 0.3163,                 1.5185,                  1.444,                 1.4312,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.5951,                  1.564,                  1.301,                0.63263,                0.58531,                0.60866,                0.32503,                 1.4998,                 1.4123,                 1.4152,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.5931,                 1.5457,                 1.2871,                0.61963,                0.52563,                0.56861,                0.29732,                 1.5899,                 1.5318,                 1.4551,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.5759,                 1.5441,                 1.2954,                0.45404,                0.16213,                0.13095,                 0.0587,                 2.8277,                 9.8845,                  2.114,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.5604,                 1.4649,                 1.2728,                0.34307,                0.36215,                0.25437,                0.12733,                 2.0154,                  2.616,                  1.691,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.5488,                 1.4503,                 1.2625,                0.34552,                0.29412,                0.19174,                 0.0886,                 2.2548,                 3.0046,                  1.855,              0.0008317,              0.0008317,              0.0008317
                     19,                  1.543,                 1.4421,                 1.2777,                0.66405,                0.67487,                0.69617,                0.39024,                 1.4244,                 1.2794,                  1.348,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.5171,                 1.4044,                 1.2504,                0.64002,                0.61231,                0.65339,                0.35812,                 1.4917,                 1.3312,                  1.377,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.5148,                  1.383,                 1.2461,                0.63387,                 0.5359,                0.58983,                 0.3261,                 1.5088,                 1.4339,                  1.403,               0.000802,               0.000802,               0.000802
                     22,                  1.508,                 1.3636,                 1.2457,                0.50869,                0.58362,                0.54859,                0.28932,                 1.6161,                 1.4676,                 1.4377,              0.0007921,              0.0007921,              0.0007921
                     23,                  1.495,                 1.3473,                 1.2425,                0.46586,                0.38338,                0.32213,                0.16257,                 1.9501,                  2.433,                 1.6162,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.4927,                 1.3348,                 1.2297,                0.68846,                0.64175,                0.67642,                0.36843,                 1.4877,                 1.2504,                 1.3697,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.4902,                 1.3068,                 1.2347,                0.68735,                0.64714,                0.69539,                0.39325,                 1.3845,                 1.2178,                 1.3201,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.4777,                 1.2953,                 1.2261,                0.41567,                0.20713,                0.14886,                0.07166,                  3.255,                 10.907,                 2.2427,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.4778,                    1.3,                 1.2248,                 0.6109,                0.58026,                0.61493,                0.35162,                 1.4621,                 1.5529,                 1.3728,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.4632,                 1.2565,                 1.2134,                0.66715,                0.61271,                0.65758,                0.36061,                 1.5146,                 1.3992,                 1.3998,              0.0007327,              0.0007327,              0.0007327
