                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8569,                 5.3775,                 3.6178,                0.00278,                0.08417,                0.00176,                0.00046,                 3.8705,                 4.2708,                 3.1751,               0.067062,             0.00033271,             0.00033271
                      2,                 3.8971,                  4.381,                 2.8287,                0.16991,                0.04234,                0.01601,                0.00513,                   3.23,                 4.1758,                 2.8688,               0.034055,             0.00065945,             0.00065945
                      3,                 3.1701,                 3.6151,                 2.4558,                0.24356,                0.10909,                0.07387,                 0.0291,                 2.5901,                 3.1585,                 2.4055,              0.0010422,             0.00097959,             0.00097959
                      4,                 2.5267,                 2.9633,                 1.9816,                0.34472,                0.22761,                0.17668,                0.08106,                 2.1912,                 2.7865,                 2.0159,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.1339,                   2.56,                 1.6804,                0.35159,                0.22435,                0.17103,                0.07854,                 2.2165,                  2.608,                 1.9028,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.9903,                 2.3124,                 1.5641,                0.42975,                0.33724,                0.28763,                0.13885,                 1.8657,                 2.0886,                 1.6567,              0.0009505,              0.0009505,              0.0009505
                      7,                  1.901,                  2.124,                 1.4801,                0.24661,                0.24856,                0.18749,                0.08765,                 2.0442,                 2.5428,                 1.7677,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.8007,                 1.9606,                  1.412,                0.51561,                0.40618,                 0.3981,                 0.1976,                 1.7479,                 1.9126,                 1.5925,              0.0009307,              0.0009307,              0.0009307
                      9,                  1.771,                  1.897,                 1.3842,                0.41335,                0.43919,                0.39758,                0.20013,                 1.6902,                 1.8316,                  1.548,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.7306,                 1.8337,                 1.3685,                0.37213,                0.40098,                0.35963,                0.18236,                 1.7638,                 1.8564,                 1.5742,              0.0009109,              0.0009109,              0.0009109
