                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.503,                 6.8655,                 4.3224,                 0.0004,                0.00141,                0.00012,                  2e-05,                 5.4527,                 5.7536,                 4.2906,               0.067062,             0.00033271,             0.00033271
                      2,                 5.4285,                  6.261,                 4.2181,                0.00012,                0.01178,                  8e-05,                  2e-05,                  5.381,                 5.5681,                 4.1717,               0.034055,             0.00065945,             0.00065945
                      3,                 5.3547,                 5.9324,                 4.0734,                0.00022,                 0.0218,                0.00016,                  4e-05,                 5.1962,                 4.9646,                 4.0144,              0.0010422,             0.00097959,             0.00097959
                      4,                 4.8156,                 5.3772,                 3.8047,                0.04214,                0.03955,                0.01453,                0.00413,                 3.6159,                 4.0328,                 3.3754,              0.0009703,              0.0009703,              0.0009703
                      5,                  3.205,                 3.8523,                  2.685,                0.12526,                0.19593,                0.11291,                0.04787,                 2.4115,                 3.4187,                  2.312,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.2993,                 2.8561,                 1.9013,                0.06128,                0.03871,                 0.0274,                0.01095,                 3.9153,                 89.537,                 3.4345,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.9881,                 2.3591,                  1.616,                0.41428,                0.19731,                 0.1981,                0.08836,                 2.1921,                 2.9709,                 2.1936,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.8254,                  2.056,                  1.479,                0.26997,                0.26986,                0.21701,                0.09895,                 2.1455,                 3.0795,                  1.958,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.7574,                 1.9219,                 1.4237,                0.48152,                0.46522,                0.41778,                0.21926,                 1.6538,                 1.6974,                  1.571,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6936,                  1.821,                  1.389,                0.49918,                 0.3185,                0.30453,                0.14414,                 1.9499,                 2.4482,                 1.8394,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6781,                 1.7174,                 1.3707,                0.56016,                0.54654,                0.54681,                0.29266,                 1.5474,                 1.5072,                 1.4918,               0.000901,               0.000901,               0.000901
                     12,                 1.6231,                 1.6603,                  1.342,                0.24341,                0.18622,                0.14425,                0.06407,                 2.6199,                 10.778,                 2.4515,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.6031,                 1.5718,                 1.3143,                0.44527,                0.44337,                 0.4064,                0.21581,                 1.6314,                   1.75,                 1.5302,              0.0008812,              0.0008812,              0.0008812
