epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.947,5.50298,6.86553,4.32236,0.0004,0.00141,0.00012,2e-05,5.45266,5.75363,4.29062,0.067062,0.000332707,0.000332707
2,273.576,5.42852,6.26101,4.21808,0.00012,0.01178,8e-05,2e-05,5.38097,5.56808,4.17171,0.0340554,0.000659446,0.000659446
3,405.634,5.35469,5.9324,4.07339,0.00022,0.0218,0.00016,4e-05,5.19624,4.96459,4.01444,0.00104224,0.000979586,0.000979586
4,538.523,4.81562,5.37723,3.8047,0.04214,0.03955,0.01453,0.00413,3.6159,4.03279,3.37544,0.0009703,0.0009703,0.0009703
5,671.882,3.20504,3.85225,2.68502,0.12526,0.19593,0.11291,0.04787,2.41153,3.4187,2.31201,0.0009604,0.0009604,0.0009604
6,806.976,2.29927,2.85614,1.90126,0.06128,0.03871,0.0274,0.01095,3.91534,89.5368,3.43447,0.0009505,0.0009505,0.0009505
7,940.129,1.98805,2.35906,1.61605,0.41428,0.19731,0.1981,0.08836,2.19206,2.97089,2.19362,0.0009406,0.0009406,0.0009406
8,1076.55,1.82544,2.05597,1.479,0.26997,0.26986,0.21701,0.09895,2.14552,3.07947,1.95795,0.0009307,0.0009307,0.0009307
9,1210.94,1.75743,1.9219,1.42367,0.48152,0.46522,0.41778,0.21926,1.65382,1.69745,1.57101,0.0009208,0.0009208,0.0009208
10,1343.91,1.69355,1.82102,1.38896,0.49918,0.3185,0.30453,0.14414,1.94994,2.44825,1.83935,0.0009109,0.0009109,0.0009109
11,1476.55,1.67809,1.7174,1.37068,0.56016,0.54654,0.54681,0.29266,1.54739,1.50718,1.49182,0.000901,0.000901,0.000901
12,1612.02,1.62309,1.66032,1.34202,0.24341,0.18622,0.14425,0.06407,2.61986,10.7783,2.45146,0.0008911,0.0008911,0.0008911
13,1746.73,1.60312,1.57181,1.31427,0.44527,0.44337,0.4064,0.21581,1.63143,1.75,1.53022,0.0008812,0.0008812,0.0008812
14,1880.66,1.57258,1.52382,1.29748,0.58159,0.57384,0.57466,0.31526,1.50531,1.37648,1.42766,0.0008713,0.0008713,0.0008713
