                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2972,                 5.8851,                 4.1214,                0.00784,                0.00317,                 0.0007,                0.00018,                 4.9699,                 4.6297,                 3.9118,               0.067062,             0.00033271,             0.00033271
                      2,                 4.8042,                 5.0108,                 3.5796,                0.03107,                0.01387,                0.00707,                0.00188,                 3.8499,                 3.8929,                   3.32,               0.034055,             0.00065945,             0.00065945
                      3,                 3.4718,                  3.826,                 2.7976,                0.09258,                0.13598,                0.07067,                0.02782,                 2.5695,                 3.1473,                 2.5473,              0.0010422,             0.00097959,             0.00097959
                      4,                 2.4787,                 2.8868,                 2.0196,                0.20972,                0.31155,                0.22203,                0.10634,                 1.9613,                 2.4475,                 1.8655,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.0148,                 2.3936,                 1.6562,                0.47288,                0.32574,                0.30415,                0.15053,                 1.8153,                 2.0641,                 1.7438,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.8659,                 2.1168,                 1.5338,                0.24164,                0.23827,                 0.1956,                0.08441,                 2.2047,                 3.0276,                 1.9489,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.7762,                 1.9439,                 1.4448,                0.48488,                0.52911,                0.49037,                0.26182,                 1.5794,                 1.6763,                 1.5353,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6892,                 1.7852,                 1.3784,                0.57777,                0.48504,                0.48379,                0.24899,                  1.639,                 1.6559,                 1.5547,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6577,                 1.7194,                 1.3523,                0.57641,                0.56709,                0.57367,                0.31198,                 1.5135,                  1.506,                  1.462,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6202,                 1.6585,                 1.3345,                0.58672,                0.53505,                0.58535,                0.30272,                 1.5233,                 1.4811,                 1.4458,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6115,                 1.5942,                 1.3239,                0.59055,                0.60497,                0.61863,                0.32708,                 1.4671,                 1.4441,                  1.407,               0.000901,               0.000901,               0.000901
                     12,                 1.5689,                 1.5435,                 1.3036,                0.62306,                0.62725,                0.65816,                0.35477,                 1.4344,                 1.4184,                 1.3928,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.5498,                  1.476,                 1.2801,                 0.6543,                0.65343,                0.66126,                0.36838,                  1.441,                 1.2913,                 1.3805,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.5269,                 1.4367,                 1.2685,                0.70054,                0.60664,                0.68356,                0.37174,                 1.4491,                 1.2765,                 1.3826,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.5262,                 1.4177,                 1.2544,                0.65744,                0.59607,                0.64946,                0.35691,                 1.4504,                 1.2975,                 1.3751,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.5142,                  1.411,                 1.2662,                0.66514,                0.57842,                0.63815,                0.34169,                 1.4817,                 1.3059,                 1.3884,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.5017,                 1.3391,                 1.2474,                0.69636,                0.68106,                0.72302,                0.40133,                 1.4313,                 1.1946,                 1.3494,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.4933,                 1.3341,                  1.238,                0.70997,                0.68017,                0.72611,                 0.3996,                 1.4072,                 1.2061,                 1.3406,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.4844,                 1.3157,                 1.2531,                 0.7046,                0.69513,                0.73603,                0.41359,                 1.3769,                 1.1593,                 1.3179,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.4655,                 1.2851,                  1.228,                0.69915,                0.71095,                0.75983,                0.42959,                 1.3731,                 1.1396,                 1.3137,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.4603,                 1.2609,                 1.2231,                0.68265,                0.65239,                0.68567,                0.36342,                 1.4739,                  1.236,                 1.3751,               0.000802,               0.000802,               0.000802
                     22,                 1.4558,                 1.2434,                 1.2225,                0.74111,                0.71547,                0.75715,                0.43568,                 1.3608,                 1.1339,                  1.322,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.4407,                 1.2285,                 1.2192,                0.71883,                0.73506,                0.78334,                 0.4394,                 1.3676,                 1.1106,                 1.3112,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.4467,                 1.2111,                 1.2122,                0.71222,                0.73424,                0.77561,                0.44469,                 1.3706,                 1.0994,                 1.3033,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.4412,                   1.19,                 1.2146,                0.72423,                0.76323,                0.78168,                0.44741,                 1.3312,                  1.097,                 1.2886,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.4287,                 1.1811,                 1.2088,                0.74178,                0.75535,                0.78865,                0.45078,                 1.3602,                 1.0431,                 1.3077,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.4293,                 1.1874,                 1.2071,                0.71934,                0.75657,                0.77415,                0.45097,                 1.3277,                 1.0447,                 1.2828,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.4146,                 1.1479,                 1.1935,                0.71761,                0.72571,                0.76429,                0.43605,                 1.3466,                 1.1116,                 1.2925,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.4085,                 1.1277,                 1.1898,                0.77905,                 0.7581,                0.80516,                0.47226,                 1.3214,                 1.0017,                 1.2807,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.4121,                 1.1191,                 1.1903,                0.78717,                0.72105,                0.81223,                0.47255,                 1.3107,                0.99142,                 1.2742,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.4022,                 1.1129,                 1.1888,                0.78214,                0.71927,                0.79042,                0.46642,                 1.3182,                0.99196,                 1.2768,               0.000703,               0.000703,               0.000703
                     32,                  1.397,                 1.1156,                 1.1935,                0.74103,                   0.78,                0.80248,                0.47116,                 1.3155,                 1.0357,                 1.2783,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.3942,                  1.094,                 1.1807,                0.77939,                0.76753,                0.82162,                0.47892,                 1.3134,                0.97738,                 1.2691,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.4058,                 1.1087,                 1.1871,                0.77275,                0.77358,                0.82435,                0.47903,                 1.3199,                0.96982,                 1.2734,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.3891,                 1.0948,                  1.185,                0.75775,                0.76134,                0.81565,                0.48454,                 1.3138,                0.97717,                 1.2726,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.3866,                 1.0804,                 1.1792,                0.70687,                0.67369,                0.71794,                0.38872,                 1.4349,                 1.1425,                 1.3337,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.3903,                 1.0856,                 1.1896,                0.76416,                 0.7991,                0.81475,                0.48019,                 1.3071,                 0.9555,                 1.2632,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.3802,                 1.0645,                 1.1748,                0.77018,                0.80271,                0.83325,                0.48933,                 1.2955,                0.95346,                 1.2604,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.3734,                 1.0694,                 1.1757,                0.79196,                0.77973,                0.81947,                 0.4882,                  1.313,                0.93466,                 1.2665,              0.0006238,              0.0006238,              0.0006238
