epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.556,5.29719,5.88511,4.12136,0.00784,0.00317,0.0007,0.00018,4.96987,4.62969,3.91183,0.067062,0.000332707,0.000332707
2,296.266,4.80422,5.01083,3.57964,0.03107,0.01387,0.00707,0.00188,3.84992,3.89293,3.31997,0.0340554,0.000659446,0.000659446
3,381.212,3.4718,3.82595,2.79755,0.09258,0.13598,0.07067,0.02782,2.56946,3.14726,2.54725,0.00104224,0.000979586,0.000979586
4,466.096,2.47865,2.88682,2.01955,0.20972,0.31155,0.22203,0.10634,1.96134,2.44747,1.8655,0.0009703,0.0009703,0.0009703
5,551.034,2.01476,2.39362,1.6562,0.47288,0.32574,0.30415,0.15053,1.81529,2.06406,1.74378,0.0009604,0.0009604,0.0009604
6,636.185,1.86585,2.11679,1.53381,0.24164,0.23827,0.1956,0.08441,2.20467,3.02763,1.9489,0.0009505,0.0009505,0.0009505
7,721.33,1.77618,1.94391,1.44481,0.48488,0.52911,0.49037,0.26182,1.57941,1.67634,1.53534,0.0009406,0.0009406,0.0009406
8,805.866,1.68918,1.78518,1.37841,0.57777,0.48504,0.48379,0.24899,1.63898,1.65593,1.55471,0.0009307,0.0009307,0.0009307
9,890.728,1.65766,1.71944,1.35227,0.57641,0.56709,0.57367,0.31198,1.51355,1.506,1.46196,0.0009208,0.0009208,0.0009208
10,975.631,1.62017,1.65851,1.33449,0.58672,0.53505,0.58535,0.30272,1.52335,1.4811,1.44578,0.0009109,0.0009109,0.0009109
11,1060.59,1.61149,1.59422,1.32393,0.59055,0.60497,0.61863,0.32708,1.46712,1.44413,1.40699,0.000901,0.000901,0.000901
12,1145.64,1.56891,1.54349,1.30356,0.62306,0.62725,0.65816,0.35477,1.43444,1.41841,1.39282,0.0008911,0.0008911,0.0008911
13,1230.83,1.54979,1.47599,1.28011,0.6543,0.65343,0.66126,0.36838,1.44104,1.29131,1.38052,0.0008812,0.0008812,0.0008812
14,1315.84,1.52694,1.43674,1.26851,0.70054,0.60664,0.68356,0.37174,1.44909,1.27654,1.38264,0.0008713,0.0008713,0.0008713
15,1401.05,1.52617,1.41769,1.25436,0.65744,0.59607,0.64946,0.35691,1.45037,1.29749,1.37505,0.0008614,0.0008614,0.0008614
16,1485.91,1.51422,1.41104,1.26619,0.66514,0.57842,0.63815,0.34169,1.48166,1.30592,1.38836,0.0008515,0.0008515,0.0008515
17,1570.95,1.50191,1.33934,1.24742,0.69003,0.6757,0.71928,0.39899,1.4398,1.19345,1.35582,0.0008416,0.0008416,0.0008416
18,1655.8,1.49259,1.33461,1.23796,0.71473,0.69346,0.73115,0.40267,1.39477,1.18941,1.33532,0.0008317,0.0008317,0.0008317
19,1740.67,1.48464,1.31666,1.25339,0.71667,0.70177,0.74366,0.42009,1.37332,1.14635,1.31897,0.0008218,0.0008218,0.0008218
20,1825.53,1.46432,1.28221,1.22699,0.69669,0.65202,0.72738,0.40167,1.42856,1.17908,1.34406,0.0008119,0.0008119,0.0008119
21,1910.39,1.46128,1.26081,1.22384,0.69617,0.68176,0.72838,0.39708,1.38976,1.15546,1.33041,0.000802,0.000802,0.000802
22,1994.46,1.45534,1.24336,1.22207,0.73593,0.70871,0.75522,0.43912,1.3545,1.12943,1.3161,0.0007921,0.0007921,0.0007921
23,2078.82,1.44037,1.22851,1.21949,0.69976,0.74857,0.77942,0.43773,1.35388,1.10555,1.30226,0.0007822,0.0007822,0.0007822
24,2163.41,1.44817,1.20999,1.21285,0.70105,0.75965,0.78521,0.44327,1.37496,1.11272,1.30663,0.0007723,0.0007723,0.0007723
25,2247.94,1.44096,1.19066,1.21485,0.73524,0.73074,0.78322,0.45049,1.31927,1.09569,1.2809,0.0007624,0.0007624,0.0007624
26,2332.4,1.42868,1.18008,1.2087,0.77206,0.74734,0.79589,0.45806,1.33496,1.02245,1.29283,0.0007525,0.0007525,0.0007525
27,2417.12,1.42902,1.18764,1.20643,0.74472,0.72514,0.77293,0.45222,1.32233,1.05037,1.28337,0.0007426,0.0007426,0.0007426
28,2501.81,1.41508,1.14809,1.19358,0.72394,0.72979,0.77204,0.44771,1.33088,1.0552,1.28428,0.0007327,0.0007327,0.0007327
