               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.9022,              2.4185,              1.4395,             0.72201,             0.72079,             0.76974,              0.4494,                   0,                   0,                   0,            0.070056,           0.0033271,           0.0033271
                   1,              1.8431,              1.5486,              1.3873,             0.68258,             0.68221,             0.68085,             0.38787,                   0,                   0,                   0,             0.03999,           0.0065945,           0.0065945
                   2,              1.9129,              1.6026,              1.4127,             0.64292,             0.42571,             0.46991,             0.25122,                   0,                   0,                   0,           0.0098585,           0.0097959,           0.0097959
                   3,              1.9442,              1.6517,              1.4271,             0.63675,             0.51482,             0.57753,              0.3254,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.9315,              1.5375,              1.4241,             0.65102,             0.59477,             0.64757,             0.36158,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.9181,               1.505,              1.4328,             0.56087,             0.50943,             0.52368,             0.27938,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   0,              1.9022,              2.4185,              1.4395,             0.72201,             0.72079,             0.76974,              0.4494,                   0,                   0,                   0,            0.070056,           0.0033271,           0.0033271
                   1,              1.8431,              1.5486,              1.3873,             0.68258,             0.68221,             0.68085,             0.38787,                   0,                   0,                   0,             0.03999,           0.0065945,           0.0065945
                   2,              1.9129,              1.6026,              1.4127,             0.64292,             0.42571,             0.46991,             0.25122,                   0,                   0,                   0,           0.0098585,           0.0097959,           0.0097959
                   3,              1.9442,              1.6517,              1.4271,             0.63675,             0.51482,             0.57753,              0.3254,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.9315,              1.5375,              1.4241,             0.65102,             0.59477,             0.64757,             0.36158,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.9181,               1.505,              1.4328,             0.56087,             0.50943,             0.52368,             0.27938,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.8916,              1.4614,               1.409,             0.77501,             0.75483,             0.80655,             0.47517,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              1.8798,              1.3861,               1.413,             0.72777,             0.73336,             0.78657,             0.44922,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.8507,               1.353,              1.4014,             0.70576,             0.67799,             0.71753,             0.39208,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.8169,              1.2993,              1.3832,             0.74299,             0.64824,              0.7199,             0.39194,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.8233,              1.2921,              1.3933,              0.7376,             0.69577,             0.74621,             0.41443,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.8047,              1.2674,              1.3756,             0.75445,             0.70968,             0.76866,             0.44844,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.7993,              1.2713,              1.3818,             0.66638,             0.62139,             0.67632,             0.38523,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.7924,              1.2308,              1.3867,               0.781,              0.7936,             0.83482,             0.50276,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.7834,              1.2178,              1.3804,             0.75419,             0.73044,             0.80809,             0.47851,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.7774,               1.189,              1.3807,             0.78393,             0.82858,              0.8759,             0.51911,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.7512,              1.1713,              1.3699,              0.7783,             0.70831,             0.78614,             0.46074,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.7632,              1.1787,              1.3712,             0.82581,             0.78886,             0.85757,             0.51756,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.7557,              1.1768,              1.3755,             0.79298,             0.83447,             0.86089,             0.52579,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.7457,              1.1407,              1.3665,             0.82795,             0.80905,              0.8733,             0.53158,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,               1.738,              1.1421,              1.3612,             0.77649,             0.69763,             0.80207,             0.45743,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.7363,               1.131,              1.3576,             0.81841,             0.83509,             0.87868,             0.53653,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.7404,              1.1364,              1.3612,             0.84558,             0.82257,             0.88692,             0.54528,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.7159,              1.1128,              1.3572,             0.81651,             0.84777,             0.88947,             0.55223,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,               1.715,              1.0832,              1.3441,             0.79684,             0.85945,             0.87924,             0.53868,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.7171,              1.0902,              1.3597,             0.82337,             0.84656,             0.89599,             0.55932,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.6948,              1.0742,              1.3479,             0.79511,             0.81748,             0.87126,             0.54226,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.6943,              1.0771,              1.3539,             0.80446,             0.84268,             0.88433,             0.55165,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.6882,              1.0675,              1.3506,             0.79138,             0.83494,             0.86648,             0.54039,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.6982,              1.0724,              1.3563,             0.83489,             0.84413,             0.88233,             0.54438,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,               1.683,              1.0551,              1.3503,             0.81905,              0.8536,             0.89505,             0.55622,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.6819,              1.0449,              1.3446,              0.8096,             0.75663,             0.84114,             0.51046,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.6783,              1.0388,              1.3406,             0.83177,             0.85046,             0.89894,             0.55754,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.6734,              1.0286,              1.3348,             0.82986,             0.86786,             0.90061,             0.57374,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.6576,              1.0271,              1.3428,             0.83322,              0.8517,             0.88597,             0.55514,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,               1.666,              1.0244,              1.3398,             0.82918,             0.84052,             0.89037,             0.55535,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.6542,              1.0165,              1.3281,             0.83433,             0.84578,             0.89879,             0.56139,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
