               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               1.888,              2.3181,                1.46,             0.75624,             0.70491,             0.77622,             0.45052,                   0,                   0,                   0,            0.070056,           0.0033271,           0.0033271
                   1,              1.8322,              1.5177,              1.4158,             0.66542,             0.54573,             0.61008,             0.34782,                   0,                   0,                   0,             0.03999,           0.0065945,           0.0065945
                   2,               1.902,               1.615,              1.4488,             0.51042,             0.52691,             0.51177,             0.27807,                   0,                   0,                   0,           0.0098585,           0.0097959,           0.0097959
                   3,              1.9608,              1.6548,              1.4613,             0.70854,             0.67409,             0.71449,             0.39885,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.9579,               1.616,              1.4684,             0.68653,             0.65855,              0.7207,             0.38071,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.9227,              1.5372,              1.4553,             0.61785,             0.56993,             0.55174,             0.31689,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.8979,              1.4435,              1.4486,             0.68513,               0.664,             0.69689,              0.4059,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,               1.884,              1.3755,              1.4406,             0.62213,             0.51531,             0.54622,             0.31581,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.8424,              1.3431,              1.4274,             0.81486,              0.7046,             0.77351,             0.44381,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.8236,              1.2794,              1.4122,             0.68125,             0.57545,              0.6418,             0.33915,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.8285,              1.2748,              1.4174,             0.76915,             0.77841,             0.82982,             0.49306,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,               1.796,               1.241,              1.4025,             0.77427,             0.79201,             0.85807,             0.52154,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
