               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.5181,              1.8177,              1.1346,             0.66382,             0.61568,             0.62673,             0.35969,              1.4227,              1.3874,              1.2263,            0.070056,           0.0033271,           0.0033271
                   1,              1.4726,              1.1917,              1.1042,             0.78023,             0.73711,              0.7964,             0.46732,               1.344,             0.95083,              1.1823,             0.03999,           0.0065945,           0.0065945
                   2,              1.5227,              1.2436,              1.1336,             0.68656,             0.56562,             0.64104,              0.3354,               1.575,              1.2911,              1.3045,           0.0098585,           0.0097959,           0.0097959
                   3,              1.5624,              1.2864,              1.1439,             0.66409,             0.65987,             0.68062,             0.38705,              1.3986,                1.25,              1.2049,            0.009703,            0.009703,            0.009703
                   4,              1.5427,              1.2328,              1.1379,             0.59224,             0.33373,              0.3878,             0.22022,              1.5853,              2.5041,              1.3485,            0.009703,            0.009703,            0.009703
                   5,              1.5345,              1.1983,              1.1368,             0.74238,             0.72775,             0.78589,             0.44637,              1.3801,             0.98228,              1.1968,            0.009604,            0.009604,            0.009604
                   6,              1.5112,              1.1553,               1.129,             0.72223,             0.60329,             0.68992,             0.38506,              1.4088,              1.1707,              1.1834,            0.009505,            0.009505,            0.009505
                   7,              1.5085,              1.0981,              1.1311,             0.48367,             0.53232,             0.47797,             0.26161,              1.5748,              1.5802,               1.317,            0.009406,            0.009406,            0.009406
                   8,              1.4812,              1.0813,              1.1218,             0.45061,             0.26314,             0.28586,             0.16552,              1.7231,              3.0186,              1.4824,            0.009307,            0.009307,            0.009307
                   9,              1.4568,              1.0425,              1.1071,             0.67145,             0.63734,             0.69547,             0.36601,              1.5065,              1.1348,              1.2518,            0.009208,            0.009208,            0.009208
                  10,              1.4632,              1.0401,               1.114,             0.80459,             0.77199,              0.8364,             0.50621,              1.2699,             0.82502,              1.1535,            0.009109,            0.009109,            0.009109
                  11,              1.4474,              1.0198,              1.1014,             0.78582,             0.77494,             0.82851,             0.49586,              1.2965,             0.84324,              1.1642,             0.00901,             0.00901,             0.00901
                  12,              1.4377,              1.0077,              1.1013,             0.78356,             0.74406,             0.82146,             0.48617,              1.2876,             0.91032,               1.171,            0.008911,            0.008911,            0.008911
                  13,              1.4349,             0.98549,              1.1101,             0.78153,             0.80163,              0.8366,             0.49512,               1.271,             0.87706,              1.1617,            0.008812,            0.008812,            0.008812
                  14,              1.4248,             0.97106,              1.1042,             0.82319,              0.7815,             0.85144,             0.51679,              1.2691,             0.83941,              1.1616,            0.008713,            0.008713,            0.008713
                  15,              1.4188,             0.95969,              1.1025,             0.80918,             0.81909,             0.86289,              0.5178,              1.2443,             0.80534,              1.1519,            0.008614,            0.008614,            0.008614
                  16,              1.4029,             0.94033,               1.095,             0.83512,             0.81051,             0.86488,             0.52414,              1.2433,             0.81925,              1.1416,            0.008515,            0.008515,            0.008515
                  17,              1.4102,             0.94838,              1.0964,             0.79384,             0.76833,             0.84274,             0.50756,                1.27,             0.86477,              1.1643,            0.008416,            0.008416,            0.008416
                  18,              1.4118,             0.94278,              1.1038,             0.81308,              0.8073,             0.86107,             0.52377,              1.2619,             0.78294,              1.1566,            0.008317,            0.008317,            0.008317
                  19,              1.3953,             0.91184,              1.0935,             0.81505,             0.79112,             0.85527,             0.51746,              1.2663,             0.84304,              1.1609,            0.008218,            0.008218,            0.008218
                  20,              1.3854,             0.90829,              1.0877,               0.805,             0.80149,             0.86674,             0.52257,              1.2463,             0.81825,              1.1469,            0.008119,            0.008119,            0.008119
                  21,              1.3908,             0.90362,              1.0859,             0.84025,             0.82247,              0.8845,             0.54784,              1.2242,             0.75387,              1.1404,             0.00802,             0.00802,             0.00802
                  22,              1.3912,             0.91126,              1.0884,             0.83773,             0.81479,             0.87062,              0.5294,              1.2386,             0.74797,              1.1509,            0.007921,            0.007921,            0.007921
                  23,              1.3744,              0.8855,              1.0848,             0.83841,             0.81592,             0.88745,             0.54397,              1.2409,             0.73282,               1.143,            0.007822,            0.007822,            0.007822
                  24,              1.3705,             0.86834,              1.0734,             0.83898,              0.8202,             0.87641,             0.53379,              1.2438,             0.74359,              1.1507,            0.007723,            0.007723,            0.007723
                  25,               1.373,             0.87137,               1.088,             0.81725,              0.8157,             0.88028,             0.54982,              1.2138,              0.7484,              1.1369,            0.007624,            0.007624,            0.007624
                  26,              1.3602,             0.86241,              1.0801,             0.84554,              0.8456,             0.89368,             0.54711,               1.222,             0.72264,              1.1406,            0.007525,            0.007525,            0.007525
                  27,              1.3534,             0.86168,              1.0842,             0.84101,              0.8346,             0.89402,             0.54931,              1.2149,             0.70496,              1.1507,            0.007426,            0.007426,            0.007426
                  28,              1.3522,             0.85673,              1.0814,             0.79646,             0.77446,             0.83863,             0.49071,              1.3552,             0.78456,              1.2065,            0.007327,            0.007327,            0.007327
                  29,               1.356,             0.85756,              1.0822,             0.81721,             0.84012,              0.8852,             0.55069,              1.2137,             0.72597,              1.1343,            0.007228,            0.007228,            0.007228
                  30,               1.346,             0.84997,              1.0777,             0.83385,             0.83457,             0.88551,             0.55208,              1.2001,             0.71535,              1.1309,            0.007129,            0.007129,            0.007129
                  31,              1.3447,             0.83917,              1.0731,              0.8488,             0.81981,             0.89548,             0.56597,              1.1818,             0.69313,              1.1266,             0.00703,             0.00703,             0.00703
                  32,              1.3386,               0.835,              1.0708,             0.82939,             0.85085,             0.89146,             0.55705,              1.2075,             0.69856,              1.1473,            0.006931,            0.006931,            0.006931
                  33,              1.3407,             0.82825,              1.0661,             0.82836,             0.84033,             0.89115,             0.55886,              1.1985,              0.7158,              1.1284,            0.006832,            0.006832,            0.006832
                  34,              1.3226,             0.82215,              1.0741,             0.82303,             0.83767,             0.88663,             0.55298,              1.2104,             0.71692,               1.137,            0.006733,            0.006733,            0.006733
                  35,              1.3322,             0.81907,              1.0698,             0.82627,              0.8374,             0.88763,             0.54969,              1.2214,             0.68927,              1.1403,            0.006634,            0.006634,            0.006634
                  36,              1.3218,             0.81609,              1.0638,             0.80942,             0.85704,             0.87498,              0.5435,              1.2186,             0.70893,               1.142,            0.006535,            0.006535,            0.006535
                  37,              1.3147,             0.81037,              1.0665,             0.84228,             0.84525,              0.8992,              0.5579,               1.212,             0.66303,              1.1433,            0.006436,            0.006436,            0.006436
                  38,              1.3272,             0.81535,              1.0734,             0.84662,             0.80997,             0.89084,             0.56803,              1.1871,             0.68026,              1.1295,            0.006337,            0.006337,            0.006337
                  39,              1.3258,             0.81176,              1.0527,             0.83113,             0.83526,             0.89654,             0.57162,              1.1818,             0.67486,              1.1206,            0.006238,            0.006238,            0.006238
                  40,              1.3098,             0.79827,              1.0627,             0.83352,             0.84441,               0.903,             0.56968,              1.1795,             0.69091,              1.1202,            0.006139,            0.006139,            0.006139
                  41,              1.3149,             0.81444,              1.0721,              0.8129,             0.86644,             0.89148,             0.56937,              1.1852,              0.6796,              1.1353,             0.00604,             0.00604,             0.00604
                  42,              1.3119,             0.79971,              1.0618,             0.80723,             0.86822,             0.89548,              0.5628,              1.1846,             0.67177,              1.1234,            0.005941,            0.005941,            0.005941
