               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.5089,              1.8704,               1.164,             0.60198,             0.66505,             0.67341,             0.38962,              1.3872,              1.1811,               1.247,            0.070056,           0.0033271,           0.0033271
                   1,              1.4671,              1.2082,              1.1266,             0.69848,             0.71509,             0.74387,             0.43649,              1.3193,              1.0026,              1.1803,             0.03999,           0.0065945,           0.0065945
                   2,              1.5332,              1.2812,               1.155,             0.48264,             0.45828,             0.45991,             0.23854,              1.6532,               2.091,              1.3889,           0.0098585,           0.0097959,           0.0097959
                   3,              1.5727,              1.3616,              1.1643,              0.6048,             0.32724,             0.35304,             0.18982,              1.7292,              2.1167,              1.4153,            0.009703,            0.009703,            0.009703
                   4,              1.5638,               1.284,               1.163,              0.6748,             0.74622,             0.76985,             0.43483,              1.3506,              1.0166,               1.199,            0.009703,            0.009703,            0.009703
                   5,               1.548,              1.2382,              1.1644,             0.40544,             0.43433,             0.38054,             0.18738,              1.8246,               2.149,              1.4216,            0.009604,            0.009604,            0.009604
                   6,               1.529,                1.18,              1.1521,             0.62423,             0.15763,             0.20734,             0.11084,              2.2268,              3.6995,              1.6544,            0.009505,            0.009505,            0.009505
                   7,              1.5209,              1.1353,              1.1506,             0.71163,             0.69644,             0.76518,             0.43591,              1.3591,              1.0641,              1.2203,            0.009406,            0.009406,            0.009406
                   8,              1.4881,              1.1074,              1.1405,             0.73038,              0.6053,             0.66836,             0.37809,              1.4365,              1.2787,              1.2681,            0.009307,            0.009307,            0.009307
                   9,              1.4711,              1.0665,              1.1268,             0.72009,             0.68413,             0.73328,             0.40618,              1.4432,              1.0654,              1.2472,            0.009208,            0.009208,            0.009208
                  10,              1.4792,              1.0826,              1.1355,             0.69862,             0.58648,               0.677,             0.39034,              1.4543,              1.1787,              1.2745,            0.009109,            0.009109,            0.009109
                  11,              1.4609,               1.045,               1.123,             0.76495,             0.82596,             0.85649,             0.50359,              1.2847,              0.8343,              1.1793,             0.00901,             0.00901,             0.00901
                  12,              1.4518,               1.035,              1.1271,             0.73079,             0.68487,              0.7571,             0.42823,              1.4045,              1.0591,              1.2452,            0.008911,            0.008911,            0.008911
                  13,              1.4464,              1.0124,              1.1315,             0.77569,             0.81425,             0.84792,             0.50686,              1.2859,             0.82001,              1.1888,            0.008812,            0.008812,            0.008812
                  14,              1.4373,             0.99204,               1.123,              0.7151,             0.69796,             0.77974,             0.45732,              1.3129,              1.0277,               1.197,            0.008713,            0.008713,            0.008713
                  15,              1.4271,             0.96953,              1.1197,             0.81203,             0.82556,             0.86235,             0.51646,              1.2517,             0.81422,              1.1662,            0.008614,            0.008614,            0.008614
                  16,              1.4158,             0.95346,               1.115,             0.80276,             0.75126,             0.82273,             0.50135,              1.2567,             0.86726,              1.1753,            0.008515,            0.008515,            0.008515
                  17,              1.4182,             0.96082,               1.115,             0.82266,             0.82611,              0.8771,              0.5257,              1.2697,             0.76775,              1.1788,            0.008416,            0.008416,            0.008416
                  18,              1.4173,             0.94627,              1.1216,             0.84142,              0.8025,             0.86821,             0.53123,              1.2486,             0.74465,              1.1762,            0.008317,            0.008317,            0.008317
                  19,              1.4069,             0.91675,              1.1113,             0.78635,             0.82373,             0.85798,             0.51547,              1.2598,              0.7899,              1.1759,            0.008218,            0.008218,            0.008218
                  20,              1.3965,             0.92507,              1.1066,             0.81503,             0.80804,             0.86661,             0.53024,              1.2288,             0.75732,              1.1712,            0.008119,            0.008119,            0.008119
                  21,               1.398,              0.9078,              1.1036,             0.79674,             0.84495,             0.88249,             0.53368,              1.2402,             0.79957,              1.1762,             0.00802,             0.00802,             0.00802
                  22,              1.3995,             0.91627,              1.1051,             0.80827,              0.8254,             0.87523,             0.51773,               1.279,             0.75858,              1.1907,            0.007921,            0.007921,            0.007921
                  23,               1.378,             0.88991,              1.1031,             0.79333,             0.84263,             0.87975,             0.53864,              1.2411,             0.72698,              1.1771,            0.007822,            0.007822,            0.007822
                  24,               1.373,             0.87245,              1.0892,              0.7825,             0.86142,             0.88506,             0.53443,              1.2199,             0.77056,              1.1669,            0.007723,            0.007723,            0.007723
                  25,              1.3804,              0.8828,              1.1073,             0.81841,             0.85061,             0.89069,              0.5537,                1.23,             0.72727,              1.1745,            0.007624,            0.007624,            0.007624
                  26,              1.3631,             0.86569,              1.0948,              0.8154,             0.80302,             0.86135,             0.51328,              1.3064,             0.79426,               1.203,            0.007525,            0.007525,            0.007525
                  27,              1.3633,             0.86846,                 1.1,             0.82093,             0.85523,             0.88905,             0.55782,              1.2095,             0.70938,              1.1608,            0.007426,            0.007426,            0.007426
                  28,              1.3604,             0.86218,              1.0954,             0.82025,             0.84308,             0.87277,             0.54614,              1.2203,             0.72136,              1.1687,            0.007327,            0.007327,            0.007327
                  29,              1.3662,               0.862,                 1.1,             0.74864,             0.76261,             0.82526,             0.48901,              1.2907,             0.95526,              1.1974,            0.007228,            0.007228,            0.007228
                  30,              1.3497,             0.85148,              1.0924,             0.83996,             0.83749,             0.88803,             0.55037,              1.2322,             0.71077,              1.1727,            0.007129,            0.007129,            0.007129
                  31,              1.3498,             0.84174,              1.0912,             0.85225,             0.81659,              0.8975,             0.55397,              1.2127,             0.71247,              1.1576,             0.00703,             0.00703,             0.00703
                  32,              1.3465,             0.84231,              1.0846,             0.82315,             0.85482,             0.90813,             0.55245,              1.2167,             0.69874,               1.164,            0.006931,            0.006931,            0.006931
                  33,              1.3464,             0.82716,              1.0804,             0.81919,             0.86785,             0.89199,             0.55011,              1.2146,             0.70275,              1.1548,            0.006832,            0.006832,            0.006832
                  34,               1.331,             0.82867,              1.0885,             0.83979,             0.80248,             0.87977,             0.54452,              1.2279,             0.75418,              1.1622,            0.006733,            0.006733,            0.006733
