                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6621,                 2.2947,                0.51191,                0.00076,                0.03463,                0.00043,                  9e-05,                 1.5412,                0.54308,                0.46231,               0.067062,             0.00033271,             0.00033271
                      2,                 1.6214,                0.45143,                0.51124,                0.00152,                0.06258,                0.00092,                0.00022,                 1.2516,                0.73449,                0.37927,               0.034055,             0.00065945,             0.00065945
                      3,                  1.493,                0.55315,                0.46313,                0.00273,                0.01701,                0.00176,                0.00049,                 1.1411,                  0.876,                0.34182,              0.0010422,             0.00097959,             0.00097959
                      4,                 1.4293,                0.60389,                0.43762,                0.00405,                 0.0422,                0.00194,                0.00056,                 1.1009,                0.90255,                0.33352,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2388,                0.76141,                0.35287,                0.14763,                0.11683,                0.00326,                0.00103,                0.93369,                 1.1392,                 0.2877,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1451,                0.85118,                0.31397,                0.00758,                0.14071,                0.00715,                0.00261,                0.80534,                 1.2426,                 0.2481,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0529,                   0.93,                0.28063,                0.15159,                 0.1576,                 0.0061,                0.00237,                0.78991,                 1.2388,                0.24786,              0.0009406,              0.0009406,              0.0009406
                      8,                0.95897,                 1.0223,                0.24388,                0.44667,                0.12559,                0.01689,                0.00791,                0.61705,                  1.567,                0.18905,              0.0009307,              0.0009307,              0.0009307
                      9,                0.88559,                 1.0834,                0.22225,                0.16476,                 0.2188,                0.03065,                0.01389,                0.60503,                 1.4405,                0.18197,              0.0009208,              0.0009208,              0.0009208
                     10,                0.80942,                 1.1353,                0.19612,                0.04683,                0.16606,                0.01378,                 0.0063,                0.79259,                 1.1999,                0.25097,              0.0009109,              0.0009109,              0.0009109
                     11,                0.78858,                 1.1292,                0.19321,                0.35661,                 0.1413,                0.05031,                 0.0231,                0.69039,                 1.2109,                0.20752,               0.000901,               0.000901,               0.000901
                     12,                0.75318,                 1.1369,                0.18184,                0.49502,                0.14679,                0.05395,                0.02673,                0.52717,                 1.5414,                0.15856,              0.0008911,              0.0008911,              0.0008911
                     13,                  0.729,                 1.1354,                0.17524,                0.33863,                0.20673,                0.07004,                0.03336,                0.54206,                 1.4316,                 0.1639,              0.0008812,              0.0008812,              0.0008812
                     14,                0.68964,                 1.1497,                 0.1571,                0.49734,                 0.1737,                0.07989,                0.04274,                0.47844,                 1.4504,                0.13905,              0.0008713,              0.0008713,              0.0008713
                     15,                0.69167,                 1.1287,                 0.1584,                0.27452,                0.23414,                 0.0773,                0.04011,                0.48132,                 1.4732,                0.14165,              0.0008614,              0.0008614,              0.0008614
                     16,                0.66412,                 1.1442,                 0.1503,                0.06524,                0.15365,                0.06292,                0.02597,                0.85648,                 1.0576,                0.28914,              0.0008515,              0.0008515,              0.0008515
                     17,                0.65436,                 1.1123,                 0.1494,                0.09984,                0.25725,                0.09196,                0.04427,                0.66232,                 1.1712,                0.20406,              0.0008416,              0.0008416,              0.0008416
                     18,                0.63319,                 1.1063,                0.13938,                0.14778,                0.31232,                0.13008,                0.06924,                0.49359,                 1.3005,                0.14681,              0.0008317,              0.0008317,              0.0008317
